#,Memory MPN,Manufacturer,Short memtest (Basic),Short memtest (Random),Extended memtest (Basic),Extended memtest (Random),Rowhammer-tester commit SHA
1,MTC10F1084S1RC48BA1_JHCC,Micron,OK,OK,OK,OK,[35bfd92](https://github.com/antmicro/rowhammer-tester/commit/35bfd9252417346e4b1f38a753c22e0541185b9e)
2,MTC10F1084S1RC48BA1_NGCC,Micron,OK,OK,OK,OK,[35bfd92](https://github.com/antmicro/rowhammer-tester/commit/35bfd9252417346e4b1f38a753c22e0541185b9e)
3,MTC20F2085S1RC48BA1_PGCC,Micron,OK,OK,OK,OK,[35bfd92](https://github.com/antmicro/rowhammer-tester/commit/35bfd9252417346e4b1f38a753c22e0541185b9e)
4,M321R4GA3BB6-CQKMG,Samsung,OK,OK,OK,OK,[35bfd92](https://github.com/antmicro/rowhammer-tester/commit/35bfd9252417346e4b1f38a753c22e0541185b9e)
5,M329R8GA0BB0-CQKVG,Samsung,OK,OK,OK,OK,[35bfd92](https://github.com/antmicro/rowhammer-tester/commit/35bfd9252417346e4b1f38a753c22e0541185b9e)
6,MTC20F2085S1RC48BA1_JHCC,Micron,OK,OK,OK,OK,[35bfd92](https://github.com/antmicro/rowhammer-tester/commit/35bfd9252417346e4b1f38a753c22e0541185b9e)
7,HMCG84MEBRA112NBB,SK hynix,OK,OK,OK,OK,[35bfd92](https://github.com/antmicro/rowhammer-tester/commit/35bfd9252417346e4b1f38a753c22e0541185b9e)
8,HMCG88AGBRA188NAA,SK hynix,OK,OK,OK,OK,[bd05e52](https://github.com/antmicro/rowhammer-tester/commit/bd05e520f30fea3b554e495bb3a92d60d0a08c97)
9,M321R4GA3BB6-CQKET,Samsung,OK,OK,OK,OK,[bd05e52](https://github.com/antmicro/rowhammer-tester/commit/bd05e520f30fea3b554e495bb3a92d60d0a08c97)
10,M321R4GA0BB0-CQKMS,Samsung,OK,OK,OK,OK,[bd05e52](https://github.com/antmicro/rowhammer-tester/commit/bd05e520f30fea3b554e495bb3a92d60d0a08c97)
11,MTC18F104S1PC48BA2_NGCC,Micron,OK,OK,OK,OK,[bd05e52](https://github.com/antmicro/rowhammer-tester/commit/bd05e520f30fea3b554e495bb3a92d60d0a08c97)
12,MTC10F1084S1RC48BA1_NHFF,Micron,OK,OK,OK,OK,[bd05e52](https://github.com/antmicro/rowhammer-tester/commit/bd05e520f30fea3b554e495bb3a92d60d0a08c97)
